list,repo,stars,commits,first,files,share,loc,mloc,product,test,bench,script
21.09,itsmostafa/typesafe-mcp,258,59,2026-09-17,7,100.0,1493,1493,7,0,0,0
21.09,jkudish/jev-mcp,282,38,2026-09-17,9,100.0,5348,5348,3,6,0,0
21.09,browser-use/jev-ultrafast,17962,3,2026-09-17,17,88.2,2049,1847,6,1,0,8
21.09,tamaratran/fast-jev-compaction,6289,30,2026-09-17,13,76.9,13787,2445,7,2,0,1
21.09,ellipsis-dev/blink,61,7,2026-09-16,12,58.3,711,653,4,3,0,0
21.09,sharziki/semdecide,36,7,2026-09-16,12,50.0,1002,807,4,2,0,0
21.09,GhalebDweikat/winnow,66,24,2026-09-16,43,27.9,5535,2581,9,2,0,1
21.09,devagrawal09/jev-review,544,5,2026-09-16,19,15.8,1851,656,3,0,0,0
21.09,0xNatoshi/jev-codex-router,219,69,2026-09-17,783,4.7,314487,38302,16,19,0,2
21.09,vercel-labs/json-render,18085,228,2026-01-14,1210,1.2,163176,4094,10,4,0,0
22.09,jexp/neo4jev,91,39,2026-09-16,15,86.7,5650,5492,5,8,0,0
22.09,AkashPriyadarshii/jev-curate,24,38,2026-09-18,10,80.0,1500,1233,6,1,0,1
22.09,fhshaik/typesafe-mario,352,1,2026-09-16,9,77.8,1778,1061,5,2,0,0
22.09,emrickgarrett/OneVOneJev,20,16,2026-09-17,21,76.2,3941,3640,16,0,0,0
22.09,RomanSlack/jev-drone,129,12,2026-09-16,17,58.8,2741,2168,10,0,0,0
22.09,monteduro/killmyidea,94,9,2026-09-17,42,50.0,3303,2125,17,4,0,0
22.09,jarrodwatts/jev-trader,2042,12,2026-09-16,34,23.5,2961,666,8,0,0,0
22.09,qkal/Canny,38,15,2026-09-17,52,15.4,4353,1725,5,3,0,0
22.09,irfndi/prism-liquidity-agent,72,409,2026-06-01,368,1.9,129484,19326,4,0,3,0
22.09,lahfir/agent-desktop,1503,248,2026-02-19,1062,0.4,132773,903,0,0,0,4
