repo,stars,forks,commits,first_commit,last_commit,source_files,files_mentioning,share_pct,loc,loc_in_mentioning,product,test,bench,script_docs
jexp/neo4jev,91,10,39,2026-09-16 00:07,2026-09-18 09:25,15,13,86.7,5650,5492,5,8,0,0
AkashPriyadarshii/jev-curate,24,2,38,2026-09-18 06:13,2026-09-22 11:43,10,8,80.0,1500,1233,6,1,0,1
fhshaik/typesafe-mario,352,35,1,2026-09-16 04:59,2026-09-16 04:59,9,7,77.8,1778,1061,5,2,0,0
emrickgarrett/OneVOneJev,20,2,16,2026-09-17 01:36,2026-09-18 03:43,21,16,76.2,3941,3640,16,0,0,0
RomanSlack/jev-drone,129,12,12,2026-09-16 20:54,2026-09-22 17:10,17,10,58.8,2741,2168,10,0,0,0
monteduro/killmyidea,94,12,9,2026-09-17 11:08,2026-09-18 10:56,42,21,50.0,3303,2125,17,4,0,0
jarrodwatts/jev-trader,2042,388,12,2026-09-16 21:19,2026-09-17 02:48,34,8,23.5,2961,666,8,0,0,0
qkal/Canny,38,5,15,2026-09-17 22:56,2026-09-21 17:21,52,8,15.4,4353,1725,5,3,0,0
irfndi/prism-liquidity-agent,72,10,409,2026-06-01 15:02,2026-09-17 05:13,368,7,1.9,129484,19326,4,0,3,0
lahfir/agent-desktop,1503,99,248,2026-02-19 18:44,2026-09-17 05:32,1062,4,0.4,132773,903,0,0,0,4
